movie_id,movie_title,imdb_url,decade,genres,avg_rating,poster,cast,director,description,keyword
1,Toy Story (1995),http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),90s, animation childrens comedy,3.878318584070796,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@..jpg,Tom Hanks Woody (voice)-Tim Allen Buzz Lightyear (voice)-Don Rickles Mr. Potato Head (voice)-Jim Varney Slinky Dog (voice)-Wallace Shawn Rex (voice)-John Ratzenberger Hamm (voice)-Annie Potts Bo Peep (voice)-John Morris Andy (voice)-Erik von Detten Sid (voice),John Lasseter,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,rivalry cowboy cgi animation claw crane
2,GoldenEye (1995),http://us.imdb.com/M/title-exact?GoldenEye%20(1995),90s, action adventure thriller,3.206106870229008,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@..jpg,Pierce Brosnan James Bond-Sean Bean Alec Trevelyan-Izabella Scorupco Natalya Simonova-Famke Janssen Xenia Onatopp-Joe Don Baker Jack Wade-Judi Dench M-Robbie Coltrane Valentin Zukovsky-Tchéky Karyo Dimitri Mishkin (as Tcheky Karyo)-Gottfried John Colonel Ourumov,Martin Campbell,Years after a friend and fellow 00 agent is killed on a joint mission,james bond character evil woman 007 chemical weapons
3,Four Rooms (1995),http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),90s, thriller,3.033333333333333,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,"Sammi Davis Jezebel (segment ""The Missing Ingredient"")-Amanda De Cadenet Diana (segment ""The Missing Ingredient"") (as Amanda deCadenet)-Valeria Golino Athena (segment ""The Missing Ingredient"")-Madonna Elspeth (segment ""The Missing Ingredient"")-Ione Skye Eva (segment ""The Missing Ingredient"")-Lili Taylor Raven (segment ""The Missing Ingredient"")-Alicia Witt Kiva (segment ""The Missing Ingredient"")-Jennifer Beals Angela (segments ""The Wrong Man"", ""The Man from Hollywood"")-David Proval Sigfried (segment ""The Wrong Man"")",Allison Anders,Four interlocking tales that take place in a fading hotel on New Year's Eve.,tied to a chair weapon revolver fire
4,Get Shorty (1995),http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),90s, action comedy drama,3.5502392344497613,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@..jpg,John Travolta Chili Palmer-Gene Hackman Harry Zimm-Rene Russo Karen Flores-Danny DeVito Martin Weir-Dennis Farina Ray 'Bones' Barboni-Delroy Lindo Bo Catlett-James Gandolfini Bear-Jon Gries Ronnie Wingate-Renee Props Nicki,Barry Sonnenfeld,A mobster travels to Hollywood to collect a debt,loan shark debt mobster producer
5,Copycat (1995),http://us.imdb.com/M/title-exact?Copycat%20(1995),90s, crime drama thriller,3.302325581395349,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@..jpg,Sigourney Weaver Helen Hudson-Holly Hunter MJ Monahan-Dermot Mulroney Ruben Goetz-William McNamara Peter Foley-Harry Connick Jr. Daryll Lee Cullum-J.E. Freeman Lt. Quinn-Will Patton Nicoletti-John Rothman Andy-Shannon O'Hurley Susan Schiffer,Jon Amiel,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,psychopath dead body in a bathtub detective murder
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),90s, drama,3.5769230769230766,https://i.imgur.com/9uJtEW6.jpg,Alex Evert Reconsidering Death-Leah Watson At Station-Cassy Clayman Reconsidering the past-Danny Ramos Dice Skeptic-Quiera Cantrell Trapped with Poem-Ricky Schmidt On Couch-Noel Bustillos Businessman #2-Billy Gabel Answers Phone-Cipriano Ortega Ex-Boyfriend,Zachary Wyman,'Something You Can't Find' is a film experiment on a tangible subject: finding purpose and meaning in life. This theme is dissected and examined in an intertwined series of short scenes ... ,No keyword found..
7,Twelve Monkeys (1995),http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),90s, drama sci-fi,3.798469387755102,https://i.imgur.com/9uJtEW6.jpg,Madeleine Stowe Katherine Railly-Bruce Willis James Cole,Madeleine Stowe,No Plot Found..,Short
8,Babe (1995),http://us.imdb.com/M/title-exact?Babe%20(1995),90s, childrens comedy drama,3.9954337899543377,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg,Christine Cavanaugh Babe (voice)-Miriam Margolyes Fly (voice)-Danny Mann Ferdinand (voice)-Hugo Weaving Rex (voice)-Miriam Flynn Maa (voice)-Russi Taylor Cat (voice) (as Russie Taylor)-Evelyn Krape Old Ewe (voice)-Michael Edward-Stevens Horse (voice)-Charles Bartlett Cow (voice),Chris Noonan,Babe,pig sheep farm sheepdog
9,Dead Man Walking (1995),http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),90s, drama,3.8963210702341136,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@..jpg,Susan Sarandon Sister Helen Prejean-Sean Penn Matthew Poncelet-Robert Prosky Hilton Barber-Raymond J. Barry Earl Delacroix-R. Lee Ermey Clyde Percy-Celia Weston Mary Beth Percy-Lois Smith Helen's Mother-Scott Wilson Chaplain Farley-Roberta Maxwell Lucille Poncelet,Tim Robbins,A nun,capital punishment solitary confinement f rated execution
10,Richard III (1995),http://us.imdb.com/M/title-exact?Richard%20III%20(1995),90s, drama war,3.831460674157303,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@..jpg,Christopher Bowen Prince Edward of Lancaster-Edward Jewesbury King Henry VI-Ian McKellen Richard III - Duke of Gloucester-Bill Paterson Ratcliffe-Annette Bening Queen Elizabeth-Matthew Groom Young Prince Richard of York-John Wood King Edward IV-Nigel Hawthorne Duke of Clarence-Maggie Smith Duchess of York,Richard Loncraine,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,dog tank battle widow
