1,Tom Hanks Woody (voice)-Tim Allen Buzz Lightyear (voice)-Don Rickles Mr. Potato Head (voice)-Jim Varney Slinky Dog (voice)-Wallace Shawn Rex (voice)-John Ratzenberger Hamm (voice)-Annie Potts Bo Peep (voice)-John Morris Andy (voice)-Erik von Detten Sid (voice)
2,Pierce Brosnan James Bond-Sean Bean Alec Trevelyan-Izabella Scorupco Natalya Simonova-Famke Janssen Xenia Onatopp-Joe Don Baker Jack Wade-Judi Dench M-Robbie Coltrane Valentin Zukovsky-Tchéky Karyo Dimitri Mishkin (as Tcheky Karyo)-Gottfried John Colonel Ourumov
3,"Sammi Davis Jezebel (segment ""The Missing Ingredient"")-Amanda De Cadenet Diana (segment ""The Missing Ingredient"") (as Amanda deCadenet)-Valeria Golino Athena (segment ""The Missing Ingredient"")-Madonna Elspeth (segment ""The Missing Ingredient"")-Ione Skye Eva (segment ""The Missing Ingredient"")-Lili Taylor Raven (segment ""The Missing Ingredient"")-Alicia Witt Kiva (segment ""The Missing Ingredient"")-Jennifer Beals Angela (segments ""The Wrong Man"", ""The Man from Hollywood"")-David Proval Sigfried (segment ""The Wrong Man"")"
4,John Travolta Chili Palmer-Gene Hackman Harry Zimm-Rene Russo Karen Flores-Danny DeVito Martin Weir-Dennis Farina Ray 'Bones' Barboni-Delroy Lindo Bo Catlett-James Gandolfini Bear-Jon Gries Ronnie Wingate-Renee Props Nicki
5,Sigourney Weaver Helen Hudson-Holly Hunter MJ Monahan-Dermot Mulroney Ruben Goetz-William McNamara Peter Foley-Harry Connick Jr. Daryll Lee Cullum-J.E. Freeman Lt. Quinn-Will Patton Nicoletti-John Rothman Andy-Shannon O'Hurley Susan Schiffer
6,Alex Evert Reconsidering Death-Leah Watson At Station-Cassy Clayman Reconsidering the past-Danny Ramos Dice Skeptic-Quiera Cantrell Trapped with Poem-Ricky Schmidt On Couch-Noel Bustillos Businessman #2-Billy Gabel Answers Phone-Cipriano Ortega Ex-Boyfriend
7,Madeleine Stowe Katherine Railly-Bruce Willis James Cole
8,Christine Cavanaugh Babe (voice)-Miriam Margolyes Fly (voice)-Danny Mann Ferdinand (voice)-Hugo Weaving Rex (voice)-Miriam Flynn Maa (voice)-Russi Taylor Cat (voice) (as Russie Taylor)-Evelyn Krape Old Ewe (voice)-Michael Edward-Stevens Horse (voice)-Charles Bartlett Cow (voice)
9,Susan Sarandon Sister Helen Prejean-Sean Penn Matthew Poncelet-Robert Prosky Hilton Barber-Raymond J. Barry Earl Delacroix-R. Lee Ermey Clyde Percy-Celia Weston Mary Beth Percy-Lois Smith Helen's Mother-Scott Wilson Chaplain Farley-Roberta Maxwell Lucille Poncelet
10,Christopher Bowen Prince Edward of Lancaster-Edward Jewesbury King Henry VI-Ian McKellen Richard III - Duke of Gloucester-Bill Paterson Ratcliffe-Annette Bening Queen Elizabeth-Matthew Groom Young Prince Richard of York-John Wood King Edward IV-Nigel Hawthorne Duke of Clarence-Maggie Smith Duchess of York
11,Morgan Freeman Somerset-Andrew Kevin Walker Dead Man at 1st Crime Scene (as Andy Walker)-Daniel Zacapa Detective Taylor at First Murder-Brad Pitt Mills-Gwyneth Paltrow Tracy-John Cassini Officer Davis-Bob Mack Gluttony Victim-Peter Crombie Dr. O'Neill-Reg E. Cathey Dr. Santiago
12,Kaleb Koho Host-Paul Oyama Primetime-Lucas Schildbach The Boston Masshole-Dominic Rizzi The Movie Nerd-Jake Maringoni The Maestro
13,Pamela Blair Greek Chorus-Rene Ceballos Greek Chorus (as René Ceballos)-Elie Chaib Greek Chorus-George De La Pena Greek Chorus-Joanne DiMauro Greek Chorus-Denise Faye Greek Chorus-Marian Filali Greek Chorus (as Marianne Filali)-Angelo Fraboni Greek Chorus-Scott Fowler Greek Chorus
14,Philippe Noiret Pablo Neruda-Massimo Troisi Mario Ruoppolo-Maria Grazia Cucinotta Beatrice Russo-Renato Scarpa Telegrapher-Linda Moretti Donna Rosa-Sergio Solli-Carlo Di Maio-Nando Neri-Vincenzo Di Sauro
15,Richard Dreyfuss Glenn Holland-Glenne Headly Iris Holland-Jay Thomas Bill Meister-Olympia Dukakis Principal Jacobs-William H. Macy Vice Principal Wolters (as W.H. Macy)-Alicia Witt Gertrude Lang-Terrence Howard Louis Russ-Damon Whitaker Bobby Tidd-Jean Louisa Kelly Rowena Morgan
