movie_id,movie_title,imdb_url,decade,genres
1,Toy Story (1995),http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),90s, animation childrens comedy
2,GoldenEye (1995),http://us.imdb.com/M/title-exact?GoldenEye%20(1995),90s, action adventure thriller
3,Four Rooms (1995),http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),90s, thriller
4,Get Shorty (1995),http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),90s, action comedy drama
5,Copycat (1995),http://us.imdb.com/M/title-exact?Copycat%20(1995),90s, crime drama thriller
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),90s, drama
7,Twelve Monkeys (1995),http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),90s, drama sci-fi
8,Babe (1995),http://us.imdb.com/M/title-exact?Babe%20(1995),90s, childrens comedy drama
9,Dead Man Walking (1995),http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),90s, drama
10,Richard III (1995),http://us.imdb.com/M/title-exact?Richard%20III%20(1995),90s, drama war
11,Seven (Se7en) (1995),http://us.imdb.com/M/title-exact?Se7en%20(1995),90s, crime thriller
12,"Usual Suspects, The (1995)","http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",90s, crime thriller
13,Mighty Aphrodite (1995),http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),90s, comedy
14,"Postino, Il (1994)","http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",90s, drama romance
15,Mr. Holland's Opus (1995),http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),90s, drama
16,French Twist (Gazon maudit) (1995),http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),90s, comedy romance
17,From Dusk Till Dawn (1996),http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),90s, action comedy crime horror thriller
18,"White Balloon, The (1995)",http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),90s, drama
19,Antonia's Line (1995),http://us.imdb.com/M/title-exact?Antonia%20(1995),90s, drama
